tipo	Admiration_2	Adoration_2	Aesthetic Appreciation_2	Amusement_2	Anger_2	Annoyance_2	Anxiety_2	Awe_2	Awkwardness_2	Boredom_2	Calmness_2	Concentration_2	Confusion_2	Contemplation_2	Contempt_2	Contentment_2	Craving_2	Desire_2	Determination_2	Disappointment_2	Disapproval_2	Disgust_2	Distress_2	Doubt_2	Ecstasy_2	Embarrassment_2	Empathic Pain_2	Enthusiasm_2	Entrancement_2	Envy_2	Excitement_2	Fear_2	Gratitude_2	Guilt_2	Horror_2	Interest_2	Joy_2	Love_2	Nostalgia_2	Pain_2	Pride_2	Realization_2	Relief_2	Romance_2	Sadness_2	Sarcasm_2	Satisfaction_2	Shame_2	Surprise (negative)_2	Surprise (positive)_2	Sympathy_2	Tiredness_2	Triumph_2
A_?	0	0	0	0	0.22292	0.24736	0.12046	0	0.13935	0	0	0	0.38718	0.12175	0.14233	0	0	0	0	0.21796	0.25621	0.14098	0.25337	0	0	0	0	0	0	0	0	0	0	0	0.12119	0	0	0	0	0.11658	0	0	0	0	0.12837	0	0	0.12856	0.2577	0	0	0	0
A_?	0	0	0	0	0	0	0.10113	0	0	0	0.14421	0.16817	0	0.58604	0	0.10926	0	0	0.17936	0.16413	0.10106	0	0.10903	0.1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44616	0	0	0.12295	0	0	0	0	0	0	0	0
A_Profesional	0	0	0	0	0	0	0	0	0	0	0	0	0.10775	0.21468	0	0	0	0	0	0.15383	0	0	0	0	0	0	0	0.15614	0	0	0.10695	0	0	0	0	0.27147	0	0	0	0	0	0.10173	0	0	0	0	0.14029	0	0.13907	0.2885	0	0	0
A_Profesional	0	0	0	0	0	0.19758	0.75495	0	0	0	0	0	0	0	0	0	0	0	0	0.17202	0.30652	0	0.63584	0	0	0	0	0	0	0	0	0.58975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A_Profesional	0.29158	0	0	0	0	0	0.14134	0	0.32108	0	0	0	0	0.13048	0	0	0	0	0.11152	0.28028	0	0	0	0.14086	0	0.55746	0	0	0	0	0	0	0.14097	0	0	0	0	0	0	0	0.13095	0.24847	0	0	0	0	0	0.2224	0	0.1469	0	0	0
A_Profesional	0	0	0	0	0	0	0.10502	0	0.10573	0	0	0	0.14305	0.23205	0	0.10986	0	0	0	0	0	0	0.1684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15336	0	0.23302	0.11712	0	0	0	0.13469	0	0	0	0	0.18079	0
A_Profesional	0	0	0	0	0	0	0	0	0	0	0	0.11208	0.45935	0.51043	0	0	0	0	0	0	0	0	0	0.10007	0	0	0	0	0	0	0	0	0	0	0	0.27412	0	0	0	0	0	0.22053	0	0	0	0	0	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0.27771	0.26902	0	0	0	0	0	0	0	0	0.13767	0	0	0	0	0.18484	0.32569	0.18942	0.274	0	0	0	0.21224	0	0	0	0	0	0	0	0.15137	0	0	0	0	0	0	0	0	0	0.15388	0	0	0	0.18297	0	0.10926	0	0
A_Profesional	0	0	0	0	0.30117	0.65013	0	0	0	0	0	0	0.10585	0	0.17162	0	0	0	0	0.55101	0.4147	0.1411	0.1905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14075	0	0	0	0	0.20636	0	0	0	0.25269	0	0	0	0
A_?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
